Disease_id,VN_name
1,Khối u dạ dày
2,Tăng cảm giác đau
3,Viêm não
4,Đau mãn tính
5,Bệnh tự miễn
6,Khối u vòm họng
7,khối u ác tính
8,Khối u não
9,u thần kinh đệm
10,Viêm ruột
11,Đau bụng
12,Suy giảm miễn dịch
13,Tiêu xương
14,Cúm
15,Lichen Planus miệng
16,Charcot-Marie-Tooth Disease
17,Xơ gan
18,U tuyến tụy
19,Bệnh Parkinson
20,Rối loạn lo âu
21,"Rối loạn tâm lý, căng thẳng"
22,U tuyến tiền liệt
23,"Lupus ban đỏ, bệnh hệ thống"
24,Dị tật ống thần kinh
25,Thừa cân
26,Béo phì
27,Bệnh tim mạch
28,Chỉ số khối cơ thể
29,Trọng lượng cơ thể
30,Chiều cao cơ thể
31,Kháng insulin
32,"Viêm gan C, mãn tính"
33,Bệnh gan nhiễm mỡ không do rượu
34,Tổn thương gan do hóa chất và thuốc
35,"Viêm gan B, mãn tính"
36,Nghiện rượu
37,Viêm đại tràng
38,Nôn mửa
39,Buồn nôn
40,Hội chứng buồng trứng đa nang
41,Bệnh Addison
42,Bệnh thận tiểu đường
43,"Ung thư hạch, tế bào T da"
44,Nhiễm Enterovirus
45,Hội chứng nhiễm độc thần kinh
46,Bệnh não sốt cấp tính
47,Ung thư di căn
48,Ung thư
49,"Thận đa nang, nhiễm sắc thể thường trội"
50,U nang
51,Nội độc tố
52,Loãng xương
53,bệnh bạch cầu
54,Bệnh Alzheimer
55,Viêm phúc mạc
56,Suy tim
57,Bệnh tim mạch vành
58,Xơ vữa động mạch
59,Dị dạng động tĩnh mạch phổi
60,Hốc động mạch
61,Ung thư thực quản
62,"Viêm nha chu, viêm răng"
63,Rung nhĩ
64,Bệnh gan mãn tính
65,Bệnh gan
66,Rối loạn tăng động giảm chú ý
67,Khối u đầu và cổ
68,Ung thư miệng
69,Ung thư xương
70,ung thư xương
71,Gan nhiễm mỡ do rượu
72,Rối loạn vi khuẩn đường ruột
73,Sỏi thận
74,Sỏi thận
75,Bệnh tiểu đường
76,Ung thư biểu mô tuyến
77,Khối u do bức xạ gây ra
78,Ung thư da
79,Suy dinh dưỡng
80,Thiếu máu
81,"Bệnh tiểu đường, thử nghiệm"
82,Ung thư biểu mô vòm họng
83,"Tai biến, tai biến mạch máu não,Nhồi máu động mạch não giữa"
84,Kết tập tiểu cầu
85,Viêm
86,Ung thư đại tràng
87,Ung thư tái phát
88,Ung thư phổi
89,Hen suyễn
90,Chấn thương thận cấp tính
91,Chức năng phổi
92,Xơ phổi
93,Nhiễm trùng huyết
94,phù nề
95,Đau
96,Tăng đường huyết
97,Đau sườn
98,"Suy giảm miễn dịch do thiếu ADA, khởi phát sớm"
99,Ung thư gan thực nghiệm
100,Bệnh nguyên bào nuôi thai kỳ
101,Rối loạn chức năng nút xoang
102,Loét tá tràng
104,Rối loạn hộp sọ
105,Động kinh sau đột quỵ
106,Bất thường của khoang tủy của xương dài
107,Hành vi ám ảnh cưỡng chế
109,KHÁNG CHROMATE (rối loạn)
110,Viêm nang lông bạch cầu
111,"Thận đa nang, nhiễm sắc thể thường trội"
112,Rối loạn ngôn ngữ vận động
113,Bất thường bẩm sinh
114,Viêm xoang tăng bạch cầu ái toan mãn tính
117,Bệnh cơ vai-bắp chân
118,Tăng amoniac máu do thiếu hụt carbamoyl Phosphate Synthetase 1
119,Phù thai 
120,Thiếu hụt thành phần bổ sung 4a(protein C4a)
121,té ngã thường xuyên
122,"Viêm mũi, dị ứng, mạn tính"
123,Ung thư tế bào thận di căn
124,u màng rụng
125,"Rối loạn lưỡng cực , trầm cảm"
126,Trầm cảm thời thơ ấu
127,Sự cốt hóa đa trung tâm của các đầu gần của xương cánh tay
128,Mất thị giác tiến triển
129,Sốt West Nile
130,Tăng mức độ Ribose trong nước tiểu
131,Khuôn mặt nhăn nheo
132,Rối loạn hành vi tăng động ở trẻ em
133,Hình thái xương vỏ não bất thường
134,Chứng tăng đông máu do thiếu hụt Glycoprotein giàu Histidine
135,Co cứng chi dưới
136,Ung thư biểu mô tế bào đáy
137,Hẹp ống  sống vùng thắt lưng
138,Kiểm soát đầu kém
139,Vỡ thành tự do tâm thất
140,Hội chứng Holt-Oram
141,Thiếu màng ngăn sáng
142,Chậm chạp
143,"Hội chứng Robinow, nhiễm sắc thể thường trội"
144,Bệnh phổi kẽ mãn tính
145,Ám ảnh
146,Teo cơ ngực lớn
147,Rối loạn chống đông máu Lupus
149,Abulia
150,Thiếu máu do tăng tế bào blasts I
151,U nang thận và hội chứng tiểu đường
152,Rối loạn chuyển hóa Porphyrin
153,Hội chứng Meckel-Gruber
154,Viêm dây thần kinh
155,Thất điều di chuyển
156,Khối u lành tính của vú
157,Thiếu hạt cụ thể
158,Đột quỵ thiếu máu cục bộ
159,Mất kiểm soát sinh lý
160,Quá mẫn
161,U nguyên bào thần kinh ở trẻ em
163,Ho mãn tính khó chữa
164,Dystonia khu trú
165,"Bệnh đầu nhỏ, nhiễm sắc thể lặn nguyên phát, 3"
166,U ác của đại tràng và/hoặc trực tràng
167,Ung thư xâm lấn
168,xơ hóa quanh nang trứng
169,Teo lưỡi
170,Hội chứng Reginato Schiapachasse
171,Thiếu máu tủy sống
172,Viêm kết mạc dị ứng theo mùa
173,Hậu môn nằm phía trước
174,Viêm loét đại tràng
175,Sự cốt hóa nội sụn bất thường
176," Rối loạn phát triển giới tính 46, XY"
177,"Liệt cứng 42, nhiễm sắc thể thường trội"
178,hội chứng Manz
179,"Sarcoma, Engelbreth-Holm-Swarm"
180,U cầu thận di truyền
181,Loãng xương sau chấn thương
182,Lỗ tiểu thấp quanh bìu giả âm đạo
183,Kết Cấu Tóc Bất Thường
184,Bệnh da sần
185,Viêm võng mạc sắc tố liên kết X
186,Vòng mạch máu
187,Rò thực quản
188,Ung thư trung biểu mô
190,Nhiễm trùng răng
191,U thần kinh
192,"Da Khô, CTCAE"
193,Giảm hoạt động của hồng cầu Pyruvate Kinase
194,"Chứng loạn dưỡng mô đệm, giác mạc"
195,Vôi hóa khối u biểu mô có mùi
196,Giảm hoạt động Xanthine Dehydrogenase
197,Nồng độ apolipoprotein B tăng cao
198,Ung thư dạ dày
199,dái tai vắng mặt
200,MSI cao
201,Teo cơ liên xương lưng lần thứ nhất
202,Sức đề kháng ngoại biên với hormone tuyến giáp
203,Bệnh thần kinh tự chủ do tiểu đường
204,"Tăng bạch cầu ái toan, nhiệt đới"
205,Tóc xoăn
206,Hội chứng Adams-Oliver 1
207,Sự tích tụ sắt trong quả cầu nhạt
209,Biến dạng khuôn mặt với nhiều dị tật
211,Liệt hô hấp
212,BỆNH PARKINSON 8 (rối loạn)
213,Rối loạn chức năng đại tràng
214,khớp xương bàn tay
215,Nevus Spitz không điển hình
216,Bệnh Alzheimer tiền triệu
217,U nội mô mạch máu giả cơ (giống sarcoma biểu mô)
218,Bệnh tả trẻ sơ sinh
219,Sarcoma xương giãn mạch
